rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,Year
430,42,KU Leuven,73.6,430,59.1,61,73.2,40,86.2,201,99.2,26,74.2,264,Belgium,"46,327",36.3,16%,51:49:00,KU Leuven,"Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Sport Science,Politics & International Studies (incl Development Studies),Chemical Engineering,Business & Management,Education,General Engineering,Psychology,Economics & Econometrics,Computer Science,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Physics & Astronomy,History, Philosophy & Theology,Other Health,Civil Engineering,Biological Sciences,Communication & Media Studies,Archaeology,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Agriculture & Forestry,Architecture,Geology, Environmental, Earth & Marine Sciences,Law,Medicine & Dentistry",FALSE,FALSE,2022
440,44,McGill University,73.4,440,63.3,50,70.9,48,83.9,234,45.3,518,91.5,92,Canada,"31,581",12.6,32%,59:41:00,McGill University,"Accounting & Finance,Education,Biological Sciences,Art, Performing Arts & Design,Archaeology,Law,Politics & International Studies (incl Development Studies),Other Health,Computer Science,Mathematics & Statistics,Architecture,Languages, Literature & Linguistics,Civil Engineering,Psychology,Business & Management,Chemistry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Sport Science,Sociology,History, Philosophy & Theology,Chemical Engineering,Agriculture & Forestry,Geography,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Communication & Media Studies",FALSE,FALSE,2022
450,45,Georgia Institute of Technology,73.3,450,58.2,63,69.4,53,91.4,124,71.4,183,77.7,232,United States,"27,838",25.7,25%,33 : 67,Georgia Institute of Technology,"Architecture,Computer Science,Business & Management,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Civil Engineering,Languages, Literature & Linguistics,Sociology,Accounting & Finance,Geography,Psychology,Art, Performing Arts & Design,Mathematics & Statistics",FALSE,FALSE,2022
460,46,"Nanyang Technological University, Singapore",73,460,57.2,68,70.3,49,85.1,216,87,92,93.9,59,Singapore,"23,951",14.7,24%,48:52:00,"Nanyang Technological University, Singapore NTU Nan yang","Civil Engineering,Economics & Econometrics,Psychology,Education,Sport Science,Sociology,Politics & International Studies (incl Development Studies),Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Communication & Media Studies,Other Health,Computer Science,General Engineering,Physics & Astronomy,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,History, Philosophy & Theology",FALSE,FALSE,2022
470,47,University of Texas at Austin,72.9,470,67.9,36,71.5,43,89.4,153,50.1,393,39.8,899,United States,"49,845",16.7,10%,53:47:00,University of Texas at Austin,"Architecture,Business & Management,Law,Communication & Media Studies,Biological Sciences,Economics & Econometrics,Psychology,Education,Sport Science,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Archaeology,Medicine & Dentistry,Electrical & Electronic Engineering,Sociology,General Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Geography,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry",FALSE,FALSE,2022
480,48,University of Illinois at Urbana-Champaign,72.6,480,65.7,43,77.3,33,80.9,270,50,395,55.4,531,United States,"47,202",18.3,23%,48:52:00,University of Illinois at Urbana-Champaign,"Art, Performing Arts & Design,Computer Science,Archaeology,General Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering,Business & Management,Geography,History, Philosophy & Theology,Other Health,Sport Science,Psychology,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Education,Accounting & Finance,Civil Engineering,Veterinary Science,Biological Sciences,Physics & Astronomy",FALSE,FALSE,2022
490,49,Chinese University of Hong Kong,71.3,490,55.1,80,58.6,85,95,77,60.2,265,95,43,Hong Kong,"18,478",19.1,25%,,Chinese University of Hong Kong CUHK,"General Engineering,Education,Languages, Literature & Linguistics,Sport Science,Physics & Astronomy,Geography,Accounting & Finance,Other Health,Medicine & Dentistry,Economics & Econometrics,Psychology,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Electrical & Electronic Engineering,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Architecture,Business & Management,Art, Performing Arts & Design,Law,Computer Science,Biological Sciences",FALSE,FALSE,2022
500,50,University of Manchester,71.2,500,56.4,74,65,62,89.1,159,45.6,504,92.4,82,United Kingdom,"36,545",14.3,43%,54:46:00,University of Manchester,"Archaeology,Chemical Engineering,Psychology,Languages, Literature & Linguistics,General Engineering,Geography,Education,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,Chemistry,Computer Science,Biological Sciences,Architecture,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Law,Civil Engineering,Physics & Astronomy,Accounting & Finance,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2022
510,51,Washington University in St Louis,70.7,510,60.5,57,57.5,92,98.5,34,44.9,529,62.1,424,United States,"14,243",7.9,22%,,Washington University in St Louis,"General Engineering,Languages, Literature & Linguistics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Law,Psychology,Biological Sciences,Chemistry,Education,Architecture,Communication & Media Studies,History, Philosophy & Theology,Medicine & Dentistry,Economics & Econometrics,Sociology,Chemical Engineering,Business & Management,Mathematics & Statistics,Electrical & Electronic Engineering,Accounting & Finance,Archaeology,Other Health,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy",FALSE,FALSE,2022
520,52,University of North Carolina at Chapel Hill,70.6,520,62.2,52,63.4,65,95.6,72,45,526,41.1,867,United States,"31,064",8.1,8%,58:42:00,University of North Carolina at Chapel Hill,"Law,Chemistry,Communication & Media Studies,Archaeology,Education,Accounting & Finance,Biological Sciences,Psychology,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Other Health,Art, Performing Arts & Design,Sociology,Languages, Literature & Linguistics,General Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Business & Management,Architecture,Geography,Sport Science,Agriculture & Forestry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Physics & Astronomy",FALSE,FALSE,2022
530,53,Wageningen University & Research,70.1,530,50.1,103,58.1,89,95.6,73,100,12,86.4,147,Netherlands,"14,871",20.2,27%,53:47:00,Wageningen University & Research,"Chemical Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Other Health,Sociology,Communication & Media Studies,Biological Sciences,Politics & International Studies (incl Development Studies),Veterinary Science,Agriculture & Forestry,Chemistry",FALSE,FALSE,2022
540,54,Australian National University,70,540,49.8,104,67.7,55,87.8,176,47.8,444,96.5,23,Australia,"18,934",17.6,47%,52:48:00,Australian National University anu,"Geography,Other Health,Chemistry,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Law,Archaeology,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Agriculture & Forestry,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Sociology,Communication & Media Studies,Business & Management,Civil Engineering,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,General Engineering,Biological Sciences",FALSE,FALSE,2022
550,54,The University of Queensland,70,550,55,84,62,70,85.8,204,86.2,97,93.4,72,Australia,"41,914",35.8,41%,55:45:00,The University of Queensland UQ UOQ,"History, Philosophy & Theology,Civil Engineering,Veterinary Science,Sociology,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Architecture,Biological Sciences,Archaeology,Medicine & Dentistry,Sport Science,Accounting & Finance,General Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Computer Science,Mathematics & Statistics,Physics & Astronomy,Electrical & Electronic Engineering,Law,Other Health,Chemistry,Education,Chemical Engineering,Psychology,Economics & Econometrics,Geography,Agriculture & Forestry,Art, Performing Arts & Design,Business & Management",FALSE,FALSE,2022
560,54,Seoul National University,70,560,73.8,30,73.8,39,68.5,454,98.2,32,36.9,985,South Korea,"26,871",15.4,11%,,Seoul National University,"Politics & International Studies (incl Development Studies),Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Mechanical & Aerospace Engineering,Civil Engineering,Economics & Econometrics,Veterinary Science,Accounting & Finance,Other Health,Education,General Engineering,Agriculture & Forestry,Architecture,Archaeology,Mathematics & Statistics,Computer Science,Geography,Chemical Engineering,Physics & Astronomy,Business & Management,Sociology,Medicine & Dentistry,Art, Performing Arts & Design,Law,Electrical & Electronic Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Psychology,Sport Science,Chemistry",FALSE,FALSE,2022
570,57,Monash University,69.9,570,54.3,89,61.7,71,87.7,178,79.2,128,91,95,Australia,"60,211",44.1,45%,57:43:00,Monash University,"Economics & Econometrics,Sport Science,Art, Performing Arts & Design,Geography,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Communication & Media Studies,Architecture,Medicine & Dentistry,Law,Politics & International Studies (incl Development Studies),Other Health,Biological Sciences,Sociology,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Chemical Engineering,Psychology,Archaeology,Computer Science,Chemistry,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2022
580,58,The University of Sydney,69.8,580,51.8,94,62.2,68,90.5,136,66.1,214,90.9,96,Australia,"47,956",19.3,47%,59:41:00,The University of Sydney UniSyd,"History, Philosophy & Theology,Business & Management,Languages, Literature & Linguistics,Computer Science,Medicine & Dentistry,Archaeology,Chemistry,Chemical Engineering,Communication & Media Studies,Education,Sociology,Psychology,Agriculture & Forestry,Accounting & Finance,Sport Science,Art, Performing Arts & Design,Other Health,Veterinary Science,Physics & Astronomy,General Engineering,Law,Geography,Architecture,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Biological Sciences,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Mechanical & Aerospace Engineering,Mathematics & Statistics",FALSE,FALSE,2022
590,58,University of Wisconsin-Madison,69.8,590,67.4,38,69.5,52,79.2,297,47.5,452,50.4,629,United States,"39,783",10.3,14%,,University of Wisconsin-Madison,"Sport Science,Geography,Civil Engineering,Computer Science,Psychology,Physics & Astronomy,Medicine & Dentistry,Agriculture & Forestry,Accounting & Finance,Law,Art, Performing Arts & Design,Education,Economics & Econometrics,Mechanical & Aerospace Engineering,Biological Sciences,Politics & International Studies (incl Development Studies),Business & Management,Geology, Environmental, Earth & Marine Sciences,Other Health,History, Philosophy & Theology,Veterinary Science,General Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Chemistry,Architecture,Chemical Engineering,Communication & Media Studies,Electrical & Electronic Engineering",FALSE,FALSE,2022
600,60,Fudan University,69.7,600,66.8,40,68.4,54,79,300,70.7,189,48.6,662,China,"33,140",11.1,12%,52:48:00,Fudan University,"Mechanical & Aerospace Engineering,Chemical Engineering,Mathematics & Statistics,Psychology,Physics & Astronomy,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Geography,Law,Medicine & Dentistry,Chemistry,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Archaeology,Electrical & Electronic Engineering,Biological Sciences,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Computer Science,Sociology,Accounting & Finance,Agriculture & Forestry",FALSE,FALSE,2022
610,61,Kyoto University,69.6,610,78.5,24,78.9,29,58.3,621,80.8,117,38.2,947,Japan,"22,299",9.2,11%,25 : 75,Kyoto University,"Biological Sciences,Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Archaeology,Chemistry,Agriculture & Forestry,Education,Other Health,Civil Engineering,Sociology,Accounting & Finance,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Psychology,Law,Chemical Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Computer Science,Geography,Architecture,Sport Science,General Engineering,Business & Management,Politics & International Studies (incl Development Studies),Physics & Astronomy",FALSE,FALSE,2022
620,62,Boston University,69.5,620,57.3,66,60.2,76,93.8,96,46.5,483,65.5,376,United States,"27,785",11,29%,59:41:00,Boston University,"Sociology,Medicine & Dentistry,Languages, Literature & Linguistics,General Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Architecture,Geography,Other Health,History, Philosophy & Theology,Psychology,Biological Sciences,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Education,Mathematics & Statistics,Law,Chemistry,Archaeology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics",FALSE,FALSE,2022
630,63,University of Southern California,69.3,630,62.1,53,58.8,82,90.3,142,41.2,707,65.5,377,United States,"42,502",13.2,24%,49:51:00,University of Southern California,"Accounting & Finance,General Engineering,Biological Sciences,Computer Science,Law,Geography,Other Health,Physics & Astronomy,History, Philosophy & Theology,Education,Geology, Environmental, Earth & Marine Sciences,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Economics & Econometrics,Agriculture & Forestry,Business & Management,Sport Science,Politics & International Studies (incl Development Studies),Archaeology,Medicine & Dentistry,Chemical Engineering,Chemistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Sociology,Psychology",FALSE,FALSE,2022
640,64,Brown University,69.1,640,62.2,51,56.6,95,92.9,107,37.4,1037,61.9,429,United States,"9,851",10.6,20%,,Brown University,"Chemistry,Archaeology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Psychology,Computer Science,Other Health,History, Philosophy & Theology,Sociology,Electrical & Electronic Engineering,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Art, Performing Arts & Design,Biological Sciences,Physics & Astronomy,Architecture,Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Education",FALSE,FALSE,2022
650,65,University of Amsterdam,68.9,650,49,110,63.3,66,91.6,121,41.6,675,89.8,107,Netherlands,"25,556",13.1,29%,58:42:00,University of Amsterdam uva,"Economics & Econometrics,Communication & Media Studies,History, Philosophy & Theology,Biological Sciences,Medicine & Dentistry,Computer Science,Physics & Astronomy,Art, Performing Arts & Design,Mathematics & Statistics,Sociology,Business & Management,Education,Archaeology,Geology, Environmental, Earth & Marine Sciences,Other Health,Psychology,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Geography",FALSE,FALSE,2022
660,66,The Hong Kong University of Science and Technology,68.8,660,50.9,99,62.1,69,86.6,193,65.1,222,97.6,14,Hong Kong,"10,147",21.3,31%,,The Hong Kong University of Science and Technology hkust,"Civil Engineering,Economics & Econometrics,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Mechanical & Aerospace Engineering,General Engineering,Biological Sciences,Business & Management,Education,Chemical Engineering,Languages, Literature & Linguistics,Computer Science,Accounting & Finance,Electrical & Electronic Engineering,Sociology,Physics & Astronomy",FALSE,FALSE,2022
670,67,"University of California, Davis",67.9,670,58.8,62,64.6,64,81.5,259,50.7,381,68.9,337,United States,"37,222",13.2,19%,59:41:00,"University of California, Davis","Agriculture & Forestry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Business & Management,History, Philosophy & Theology,Psychology,General Engineering,Law,Civil Engineering,Geography,Physics & Astronomy,Chemistry,Sociology,Veterinary Science,Economics & Econometrics,Other Health,Biological Sciences,Computer Science,Accounting & Finance,Education,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Languages, Literature & Linguistics",FALSE,FALSE,2022
680,68,"University of California, Santa Barbara",67.7,680,45.2,149,58.9,79,96.6,62,79.8,125,73.6,272,United States,"25,578",28.2,19%,54:46:00,"University of California, Santa Barbara","Archaeology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Veterinary Science,Geography,Chemical Engineering,Communication & Media Studies,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Education,Physics & Astronomy,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Chemistry,Agriculture & Forestry,Economics & Econometrics,Electrical & Electronic Engineering,Psychology,Sociology",FALSE,FALSE,2022
690,69,Utrecht University,67.6,690,46.6,135,63.1,67,90.1,145,77,141,76.3,247,Netherlands,"33,569",18.1,11%,59:41:00,Utrecht University utrecht  utrecht university,"Chemistry,Geography,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Education,Languages, Literature & Linguistics,Mathematics & Statistics,History, Philosophy & Theology,Economics & Econometrics,Psychology,Politics & International Studies (incl Development Studies),Biological Sciences,Accounting & Finance,Business & Management,Sociology,Communication & Media Studies,Medicine & Dentistry,Other Health,Physics & Astronomy,Veterinary Science,Art, Performing Arts & Design",FALSE,FALSE,2022
700,70,UNSW Sydney,67.4,700,50.4,101,60.4,74,84.1,231,72.7,177,95.2,42,Australia,"48,077",40.5,44%,46:54:00,UNSW Sydney unsw australia unsw,"Sport Science,Chemistry,Electrical & Electronic Engineering,Psychology,Other Health,Biological Sciences,Politics & International Studies (incl Development Studies),Architecture,Civil Engineering,Communication & Media Studies,Art, Performing Arts & Design,Chemical Engineering,Geography,History, Philosophy & Theology,Computer Science,Business & Management,Law,Languages, Literature & Linguistics,General Engineering,Mechanical & Aerospace Engineering,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Economics & Econometrics,Education,Sociology",FALSE,FALSE,2022
710,71,Leiden University,67.1,710,44.8,156,65.1,61,86.8,190,71.8,179,84.1,164,Netherlands,"31,556",19.4,19%,60:40:00,Leiden University,"Architecture,Medicine & Dentistry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Computer Science,Law,Art, Performing Arts & Design,Communication & Media Studies,Chemistry,Mathematics & Statistics,Education,Archaeology,Psychology,Physics & Astronomy,Sociology,Biological Sciences,Other Health",FALSE,FALSE,2022
720,72,Erasmus University Rotterdam,67,720,40.2,214,57.8,91,97,54,76.5,146,88.5,126,Netherlands,"28,933",29.3,22%,53:47:00,Erasmus University Rotterdam,"Psychology,Accounting & Finance,Sociology,Art, Performing Arts & Design,Other Health,Law,Communication & Media Studies,History, Philosophy & Theology,Education,Medicine & Dentistry,Business & Management,Politics & International Studies (incl Development Studies),Biological Sciences,Economics & Econometrics",FALSE,FALSE,2022
730,73,Charité - Universitätsmedizin Berlin,66.8,730,48.6,114,50.6,120,98.7,30,92.2,66,68.1,344,Germany,"7,998",18.7,21%,64:36:00,Charité - Universitätsmedizin Berlin,"Other Health,Medicine & Dentistry",FALSE,FALSE,2022
740,74,Humboldt University of Berlin,66.3,740,59.9,59,66.7,57,73.5,386,41.6,679,70.1,319,Germany,"33,868",54.2,18%,,Humboldt University of Berlin,"Geography,History, Philosophy & Theology,Biological Sciences,Politics & International Studies (incl Development Studies),Computer Science,Economics & Econometrics,Physics & Astronomy,Art, Performing Arts & Design,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Agriculture & Forestry,Medicine & Dentistry,Psychology,Sociology,Languages, Literature & Linguistics,Chemistry,Law,Business & Management,Accounting & Finance,Communication & Media Studies,Sport Science,Archaeology",FALSE,FALSE,2022
750,75,Delft University of Technology,65.8,750,57.1,69,71.1,46,59.4,600,97.7,36,93.6,66,Netherlands,"20,133",17,31%,31 : 69,Delft University of Technology,"Computer Science,Agriculture & Forestry,History, Philosophy & Theology,Sport Science,Other Health,Geography,Chemical Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Education,General Engineering,Communication & Media Studies,Business & Management,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Biological Sciences,Mechanical & Aerospace Engineering,Architecture,Physics & Astronomy,Electrical & Electronic Engineering,Chemistry,Art, Performing Arts & Design",FALSE,FALSE,2022
760,75,Zhejiang University,65.8,760,67.2,39,69.9,51,58.6,616,100,14,61.6,433,China,"40,352",11.8,20%,,Zhejiang University ZJU Zhejiang University China research,"Architecture,Other Health,Biological Sciences,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Veterinary Science,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,History, Philosophy & Theology,General Engineering,Sport Science,Geography,Art, Performing Arts & Design,Communication & Media Studies,Computer Science,Medicine & Dentistry,Physics & Astronomy,Law,Economics & Econometrics,Agriculture & Forestry,Psychology,Business & Management,Chemical Engineering,Mathematics & Statistics,Archaeology,Accounting & Finance,Education,Chemistry,Sociology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2022
770,75,University of Zurich,65.8,770,52.2,92,49.6,127,89.4,154,61.9,250,92.5,80,Switzerland,"23,714",15,22%,57:43:00,University of Zurich,"Archaeology,Biological Sciences,Sociology,Art, Performing Arts & Design,Law,Communication & Media Studies,Computer Science,Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Veterinary Science,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Psychology,Other Health,Physics & Astronomy,Accounting & Finance,Agriculture & Forestry,Geography,Business & Management,Education,Politics & International Studies (incl Development Studies)",FALSE,FALSE,2022
780,78,University of Tübingen,65.4,780,53.3,90,58.7,84,82.9,244,82.7,109,65.2,379,Germany,"20,438",26.2,14%,59:41:00,University of Tübingen,"History, Philosophy & Theology,Education,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies,Medicine & Dentistry,Sport Science,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Computer Science,Geography,Physics & Astronomy,Biological Sciences,Other Health,Mathematics & Statistics,Accounting & Finance,Chemistry,Business & Management,Law,Psychology",FALSE,FALSE,2022
790,78,University of Warwick,65.4,790,46.9,129,53,108,90.7,131,44.8,531,94.5,55,United Kingdom,"22,710",14.2,43%,50:50:00,University of Warwick,"Sociology,Geography,Chemistry,Accounting & Finance,Medicine & Dentistry,Psychology,Law,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Education,Mathematics & Statistics,General Engineering,Other Health,Physics & Astronomy,Civil Engineering,History, Philosophy & Theology,Business & Management,Biological Sciences,Communication & Media Studies",FALSE,FALSE,2022
800,80,University of Groningen,65.2,800,42.5,180,55.3,101,90.6,133,81.1,115,88.7,123,Netherlands,"29,440",23.8,27%,52:48:00,University of Groningen,"General Engineering,Accounting & Finance,Chemical Engineering,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Geography,Archaeology,Law,Business & Management,Computer Science,Medicine & Dentistry,Mathematics & Statistics,Education,History, Philosophy & Theology,Languages, Literature & Linguistics,Other Health,Physics & Astronomy,Communication & Media Studies,Chemistry,Politics & International Studies (incl Development Studies)",FALSE,FALSE,2022
810,80,McMaster University,65.2,810,44.3,160,50.6,121,93.1,105,98.3,31,85.1,158,Canada,"26,112",30.2,20%,56:44:00,McMaster University,"Accounting & Finance,Communication & Media Studies,Chemical Engineering,Psychology,Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Biological Sciences,Archaeology,General Engineering,Chemistry,Computer Science,Mechanical & Aerospace Engineering,Other Health,Electrical & Electronic Engineering,Geography,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Business & Management,Sport Science,Sociology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy",FALSE,FALSE,2022
820,82,Emory University,65.1,820,55.1,81,44.9,166,98.1,38,48.2,431,59.7,461,United States,"13,179",4.4,20%,60:40:00,Emory University,"Law,Other Health,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Biological Sciences,Business & Management,Chemistry,Computer Science,Psychology,Economics & Econometrics,Communication & Media Studies,General Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mathematics & Statistics",FALSE,FALSE,2022
830,83,Free University of Berlin,64.8,830,55.4,78,65.2,59,72.9,393,41.9,656,75.7,254,Germany,"27,018",43.2,23%,61:39:00,Free University of Berlin,"Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Computer Science,Biological Sciences,Physics & Astronomy,Law,Mathematics & Statistics,History, Philosophy & Theology,Communication & Media Studies,Veterinary Science,Accounting & Finance,Sociology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Education,Geography,Psychology,Business & Management",FALSE,FALSE,2022
840,84,Shanghai Jiao Tong University,64.7,840,64.2,46,71.9,42,59.3,605,100,9,47,706,China,"36,638",11.3,10%,43:57:00,Shanghai Jiao Tong University SJTU,"Medicine & Dentistry,Veterinary Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Physics & Astronomy,Computer Science,Chemistry,History, Philosophy & Theology,Education,Biological Sciences,Architecture,Chemical Engineering,Agriculture & Forestry,Sociology,Economics & Econometrics,Mechanical & Aerospace Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Other Health,Sport Science,Accounting & Finance,General Engineering,Psychology,Business & Management,Law,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE,2022
